المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
conditioned variant	variante conditionnée	بدل تركيب  (وهو مسبب وواجب لأنه ناتج عن التركيب)
configuration	configuration	هيئة
confitmatory interrogative	interrogation corroborative	استفهام تثبيثي
congruence	conformité ;congruence	توافق (البنية او الصيغة)
conjugaison	conjugaison	تصريف الأفعال
conjonction (form)	conjonction	الوصل
conjonctions	conjonctions	أدوات الوصل
conjunctive adverb	locution conjonctive	قرينة الوصل
conjuctive definition	définition conjonctive	حد الوصل
conjunctive pronoun	pronom atone	ضمير متصل
connecting consonant/vowel	phonéme /morphéme de transition phonéme/morphéme connecteur	صامت رابط مصوت رابط
connective	conjonction ;locution conjonctive ;connectif	أداة وصل أداة ربط
connective construction	construction connective	تركيب برابطة
connector	connecteur	رابط (في الجملة)
connivence	connivence	تظاهر
connotation	connotation	دلالة المعنى (في مقابل المعنى الأصلي أو المعنى الوضعي)
connontative meaning	sens conntatif	دلالة المعنى
consecutive interpreting	traduction consécutive	ترجمة تتبعية
consequence clause	subordonnée de conséquence	جواب شرط
consonance	consonance	تجانس صوتي
consonnant	consonne	صامت جامد
consonantal	consonantique	خاص بالصوامت
consonant cluster	groupe consonantique	نسق من الصوامت
constant oppositions	oppositions constantes	متقابلات ثابتة
constituent	constituant	مكون
constituent class	mots de même classe	مكونات متشابهة في الوظيفة
constituent grammar	grammaire de constituants	نحو تقسيمي  (يحصل فيه التحليل بالقسمة)
constriction	constriction	إرخاء تسريب
constrictive	constrictive	احتكاكي(صوت) رخو أو تسريبي (حرف)
construct	construit	تركيب تمثيل
constructed language	langue artificielle	لغة مصنوعة
constriction	constriction	تركيب
contact	contact(des langues)	اتصال اللغات  (تفاعل اللغات وتداخلها)
contact vernacular	sabir	لغة اتصال
contagion	contamination	تداخل (الحمل على النظير)
contamination	contamination	الحمل على الموضع
content	contenu	محتوى مضمون
content elements	éléments du contenu	عناصر المحتوى
content (full) word	morphème lexical	كلمة معجمية لفظة تامة
context	contexte	سياق قرينة
context free	indépendant du contexte	خارج عن السياق
context of situation	contexte de situation ;contexte situationnel	قرينة حالية (في مقابل القرينة المقالية) مقتضى الحال
context restricted/sensitive	dépendant de contexte	مقيد بالسياق
contextual analysis	analyse contextuelle	تحليل سياقي
contextual meaning	sens contextuel	معنى سياقي
context variant	variante contextuelle	بدل سياقي
contigous assimilation	assimilation de contiguité	تقريب بالجوار
contigous dissimilation	dissimilation de contiguité	تبعيد بالجوار
continuant	consonne continue ;consonne « durative »	صامت ممتدّ (في مقابل المنقطع) صامت زماني (في مقابل الآني)
continuant (versus non continuant)	continu(vs.non continu)	ممتد (في مقابل غير الممتدّ)
continous aspect	aspect continu ;aspect inaccompli ;aspect progressif	حدث متصل
continous constituents	constituants non-discontinus	مكونات متتابعة
contoid	conoïd	صامت
contour	contour	منحنى التنغيم
contraction	contraction ; coalescence	إدماج ومنه الإدغام
contrast	contraste	تباين تفاضل
constrasctive analysis	analyse contrastive	تحليل تبايني
constrasctive function	fonction contrastive	وظيفة تباينية
constrasctive grammar	contrastive grammaire	النحو التفاضلي
constrasctive linguistics	linguistique constractive	اللسانيات التفاضلية
constrasctive opposition	opposition constractive	متقابلات التباين
conventional	conventionnel	وضعي اصطلاحي
convergence	convergence	تلاق (في اللغات  أو اللهجات)
convergence area	aire de convergence	منطقة التلاقي
conversational style	style conversationnel	أسلوب التخاطب العادي
conversion	conversion	نقل من جنس إلى آخر
co-occurence	co-occurence	تواقع
co-ordinate clause	proposition coordonnée	جملة معطوفة
co-ordinate construction	construction cooedonnée	تركيب معطوف
co-ordinate endocentric construction	construction endencentrique coordonnée	تركيب مشتمل على نظير معطوف
co-ordinating conjunction	conjonction de coordination	أداة العطف
coordination	coordination	عطف النسق
coordinator	coordonnant	حرف العطف
copula	copule	فعل رابط (مثل فعل الكينونة)
coranic orthoepic	orthoépie coranique	علم القراءات (القرآنية)
core	base/noyau	جوهر المقطع نواة
co-reference	co-réference	وحدة الإحالة
coronal	coronal ;liminal	نطعي ذولقي
corpus	corpus	عينة البحث (اللغوي) مدونة
correctness	correction	سلامة
correlation	corrélation	تناظر
corrélative consonants	consonnes coorélatives	صوامت  متناظرة
correlative words	mots corrélatifs	كلمات الربط المتناظرة
corespendence	correspondance	توافق تطابق
corrupt pronunciation	prononciation corrompue	نطق فاسد
cost of information	cout de l’infirmation	كلفة الإفادة
count noun	nom comptable	اسم معدود (قابل للافراد والجمع)
co-varriance	co-varriance	تغيير متناظر
creativity	créativité	إبداعية
creole	créole	كريول (لغة خاصة)
creolized language	langue créolisée	لغة مولدة
crest of sonority	sommet de sonorité	قمة الجهارة
cricoid	cricoïde	غضروف حلقي
crossing	croissement	تداخل الكلام
cryptanalysis	cryptanalyse	تحليل المعنى
culminative function	fonction culminative	وظيفة الابراز (بالنبر) (بيان الموقع الأهم في الكلمة أو مجموعة من الكلمات بالنبر)
culminative opposition	opposition culminative	متقابلات الحصر
cultural language	langue de culture	لغة الثقافة
cultural transmission	transmission culturelle	نقل ثقافي  (من جيل إلى جيل)
cumul	affixe multisémique affixe a multifonction	زائدة متعددة المدلولات
cumulative cruve	courbe cumulative	منحى التراكم (في علم الأسلوب وعلم اللسان الكمي)
cuneiform script	cuneiforme	خط مسماري
cursive writing	écriture cursive	كتابة يدوية
cybernetics	cybernétique	علم الضبط الآلي (دراسة لغة الاتصال والتحكم بين الإنسان والآلة او بين الآلة والآلة)
cycle	cycle	دورة
cyrillic alphabet	alphabet cyrilique	ألفبائية سيريلية
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
damped filter	filtre amorti	مرشح مضمحل
damping	assourdissement  (d’un son)	تخفيض (سعة التموج) إخفات
damping curve	courbe d’assourdissement	منحنى الاضمحلال
dark lateral	latérale vélarisée ; latérale dure	صوت منحرف مفخم
dark vowel	voyelle sombre	صوت مفخم
darmesteter’s law	loi de darmaesteter	قانون "دار مستتر"
dative	datif	حالة التخصيص بالإضافة  (مثل المفعول غير المباشر)
dead language	langue morte	لغة ميتة
deaf -muteness	surdi-mutité	بكم الصمم
de-aspirited	désaspiré	مزال عنه النفخ
deceptive	faux correspendant	نظير وهمي
decibel	decibel	دسبل (وحدة وضوح وقع الصوت)
declamatory style	style déclamatoire	أسلوب خطابي
declarative mood	declaratif	صيغة الثبوت (الفعل) خبر (في مقابل الإنشاء) حكم من أحكام الكلام
declension	declination	إعراب الأسماء
decoding	décodage	فك الرموز  (توضيع في الخطاب)
decremental curve	courbe dectré-mentale	منحنى التناقض (في علم الأسلوب الأحصائي وعلم اللغة الكمي)
de-dialectralization	dédialctralisation	إزالة الاختلاف اللهجي
deep grammar	grammaire profonde	نحو عميق نحو تقديري
deep order	ordre profond	رتبة عميقة
deep strecture	strecture profonde	بنية عميقة
deep vowel	voyelle postérieur	مصوت مستعل
de-etymologization	déétmologisation	تأثيل  عكسي
defect	défaut	خلل  (في الكلام)
defective verb	verbe defectif	فعل ناقص
edefence	defen	النهي
deferred preposition	préposition en fin de phrase	حرف جر مؤخر
definite article	article défini	ال التعريف
definite determiner	determinant défini	أداة التعريف
deflection (deflexion)	de-inflexion	إزالة التعريف
degeneration of meaning	dégénération sémantique	انحطاط المعنى
degrammaticalization	dégrammaticalisation	تلغية (تحول إلى كلمة مفردة)
deictic function	fonction deictique	وظيفة الإشارة
deictic word	mot deictique	اسم إشارة
deixis	deixis	حالة الإشارة
delabilization	délabilisation	إزالة الضم
deletion	effacement	حذف (في النحو التحويلي)
dzlibrate speech	parole soutenue	كلام جزل (ضده الركيك)
delimitation	délimitation	تحديد
delmiltative opposition	opposition délimitative	متقابلات التحديد
demarcation	démarcation	فصل موقعي
demarcative function	fonction démarcative	وظيفة تمييز الموقع
demarcative opposition	opposition démarcative	تقابل موقعي
demarkting (mark)	démarcatif	علامة فصل
demonstrative adjective	adjectif démonstratif	اسم إشارة متصل
demonstrative pronoun	pronom  démonstratif	اسم إشارة منفصل
demotic	démotique	ديموطيقي
denasalisalization	dénasalisation	إزالة الغنة
denominative	dénominatif	مشتق من الاسم
denotation	dénotation	المعنى الحقيقي
denotative meaning	sens dénotatif	معنى حقيقي
density of communication	intensité de la communication	كثافة الاتصال اللغوي
dental	dental	أسناني (خاص بالأسنان)
dentaolabial	dentilabilal	شفوي من الثنايا العليا
depalatalization	dépalatalisation	حذف التحنيك
depence	dépence	ارتباط (محمولية أو بناء الشيء على غيره)
